source_product_id,title,description,brand,category,price,cost,currency,weight_g,length_cm,width_cm,height_cm,image_url_1,image_url_2,image_url_3,supplier_sku,source_url
SP-001,Pet Interactive Puzzle Toy - Slow Feeder,Durable non-toxic plastic dog puzzle toy that slows down eating,PetBrand,Pet Toys,18.99,7.50,USD,300,20,20,5,https://example.com/img/pet1a.jpg,https://example.com/img/pet1b.jpg,,SKU-PET-001,https://example.com/p/SP-001
SP-002,Silicone Kitchen Spatula Set - 5 Piece,Heat resistant BPA-free silicone cooking utensil set,KitchenCo,Kitchen Utensils,12.50,4.20,USD,250,30,10,5,https://example.com/img/kit1.jpg,,,SKU-KIT-001,https://example.com/p/SP-002
SP-003,Phone Stand Adjustable Aluminum,Universal phone holder desk mount aluminum alloy,TechBrand,Phone Accessories,9.99,2.80,USD,150,12,8,5,https://example.com/img/phn1.jpg,,,SKU-PHN-001,https://example.com/p/SP-003
SP-004,Yoga Mat Eco-friendly TPE,Non-slip exercise mat with carrying strap,FitnessBrand,Fitness Equipment,29.99,11.00,USD,1200,180,60,5,https://example.com/img/fit1.jpg,https://example.com/img/fit1b.jpg,,SKU-FIT-001,https://example.com/p/SP-004
SP-005,LED Desk Lamp USB Rechargeable,Touch control 3 brightness levels adjustable,LightBrand,Home Lighting,22.00,8.50,USD,400,30,15,15,https://example.com/img/led1.jpg,,,SKU-LED-001,https://example.com/p/SP-005
SP-006,Replica Designer Handbag,High quality replica of luxury brand handbag,FakeBrand,Bag,49.99,5.00,USD,500,30,20,15,https://example.com/img/bag1.jpg,,,SKU-BAG-001,https://example.com/p/SP-006
SP-007,Insulated Water Bottle 500ml,Vacuum stainless steel water bottle keeps cold 24h,OutdoorBrand,Outdoor,16.99,5.50,USD,300,25,8,8,https://example.com/img/bottle1.jpg,,,SKU-BTL-001,https://example.com/p/SP-007
SP-008,Cable Organizer Silicone Clips 6 Pack,Multicolor adhesive cable holders for desk,OfficeBrand,Office,5.99,1.20,USD,50,8,2,1,https://example.com/img/cable1.jpg,,,SKU-CBL-001,https://example.com/p/SP-008
SP-009,Premium Pet Collar Leather,Genuine leather adjustable dog collar with brass buckle,PetBrand,Pet Accessories,34.99,12.00,USD,150,40,3,2,https://example.com/img/collar1.jpg,,,SKU-COL-001,https://example.com/p/SP-009
SP-010,Smart Watch Fitness Tracker,Heart rate monitor step counter sleep tracking,TechBrand,Wearable,45.00,15.00,USD,80,25,4,1,https://example.com/img/watch1.jpg,,,SKU-WAT-001,https://example.com/p/SP-010
